"";"013140";"Penolong Pegawai Perubatan";"Assistant Medical Officer"
"";"013141";"Jururawat Terlatih";"Trained Nurse"
"";"013142";"Penolong Pegawai Kesihatan Persekitaran";"Assistant Environmental Health Officer"
"";"013143";"Juruteknologi Makmal Perubatan";"Medical Laboratory Technologist"
"";"013144";"Juru X-Ray";"Radiographer"
"";"013145";"Penolong Pegawai Farmasi";"Assistant Pharmaceutical Officer"
"";"013146";"Juruteknologi Pergigian";"Dental Technologist"
"";"013147";"Jururawat Pergigian";"Dental Nurse"
"";"013148";"Jurupulih Perubatan Anggota/Fisioterapi";"Physiotherapist Medical"
"";"013149";"Jurupulih Perubatan Cara kerja";"Medical Therapist, Occupational"
"";"013150";"Penolong Pegawai Veterinar";"Assistant Veterinary Officer Grade G29"
"";"013151";"Anggota Polis Tentera";"Military Police Member"
"";"013152";"Anggota Keselamatan dan Risik Balas";"Security and Response Members"
"";"013153";"Gerak Saraf Perang Saraf";"The Nerves of the Nervous War"
"";"013154";"Perisikan Imejeri";"Imagery Intelligence"
"";"013155";"Perisikan Strategik";"Strategic Intelligence"
"";"013156";"Operasi Human Intelligence";"Operation Human Intelligence"
"";"013157";"Operasi Perisikan Khas";"Special Intelligence Operations"
"";"013158";"Chef Tentera";"Army Chef"
"";"013159";"Juruteknik Logistik";"Logistic Technician"
"";"013160";"Juruteknik Peluru";"Bullet Technician"
"";"013161";"Juruteknik Percetakan";"Printing Technician"
"";"013162";"Juruteknik Kejuruteraan Automatif";"Automotive Engineering Technician"
"";"013163";"Juruteknik Kejuruteraan Elektronik";"Electronic Engineering Technician"
"";"013164";"Juruteknik Kejuruteraan Senjata";"Weapons Engineering Technician"
"";"013165";"Juruteknik Kejuruteraan Pembuatan";"Manufacturing Engineering Technician"
"";"013166";"Juruteknik Kejuruteraan Kembalik";"Return Engineering Engineer"
"";"013167";"Juruteknik Kejuruteraan Avionik";"Avionic Engineering Technician"
"";"013168";"Juruteknik Kejuruteraan Aeromekanikal";"Aeromechanical Engineering Technician"
"";"013169";"Juruteknik Kejuruteraan Persenjataan Pesawat";"Aircraft Engineering Engineer"
"";"013170";"Penasihat Hal Ehwal Islam Ketenteraan";"Military Islamic Affairs Advisor"
"";"0211";"PEGAWAI TUGAS AM (TLDM)";"GENERAL DUTY OFFICERS (RMN)"
"";"021101";"Pegawai Eksekutif";"Executive Officer"
"";"021102";"Pegawai Teknikal";"Technical Officer"
"";"021103";"Pegawai Bekalan";"Supply Officer"
"";"0221";"ANGGOTA LAIN-LAIN PANGKAT (TLDM)";"PERSONNEL OF OTHER RANKS (RMN)"
"";"022101";"Anggota Peperangan Atas Permukaan";"Member of Surface Warfare"
"";"022102";"Anggota Peperangan Bawah Permukaan (Senjata)";"Member of Submarine Warfare (Weapon)"
"";"022103";"Anggota Peperangan Bawah Permukaan (Kawalan)";"Member of Submarine Warfare (Control)"
"";"022104";"Anggota Juruplot Taktikal Peperangan";"Member of Warfare Tactical Plotters"
"";"022105";"Anggota Provos Tentera Laut";"Member of Naval Provost"
"";"022106";"Anggota Penyelam Ranjau";"Diver"
"";"022107";"Anggota Hidrografi";"Member of Hydrography"
"";"022108";"Anggota Komunikasi";"Member of Communications"
"";"022109";"Anggota Jurulatih Jasmani";"Member of Physical Trainers"
"";"022110";"Anggota Pentadbiran Dan Kewangan";"Member of Administration and Finance"
"";"022111";"Anggota Teknisyen Logistik";"Member of Logistics Technicians"
"";"022112";"Anggota Bendari";"Member of Navy Cooks"
"";"022113";"Anggota Petugas Wisma Pegawai";"Member of Officers` Mess Personnel"
"";"022114";"Anggota Pancaragam (TLDM)";"Member of the Brass Band (RMN)"
"";"022115";"Anggota Teknisyen Marin Kuasa Gerak";"Member of Propulsion Marine Technicians"
"";"022116";"Anggota Teknisyen Marin Srimala";"Member of the Srimala Marine Technician"
"";"022117";"Anggota Teknisyen Elektrik Senjata Dan Kuasa";"Member of Power and Ordinance Electrical Technicians"
"";"022118";"Anggota Teknisyen Elektrik Radio dan Radar";"Member of Electrical Radio and Radar Technician"
"";"0311";"PEGAWAI TUGAS AM (TUDM)";"GENERAL DUTY OFFICERS (RMAF)"
"";"031101";"Pegawai Cawang Juruterbang Tugas Am";"General Duty Pilot Branch Officer"
"";"031102";"Pegawai Cawang Jurumalim";"Navigation Branch Officer"
"";"031103";"Pegawai Cawang Kejuruteraan";"Engineering Branch Officer"
"";"031104";"Pegawai Cawang Urusetia";"Secretariat Branch Officer"
"";"031105";"Pegawai Cawang Materiel";"Material Branch Officer"
"";"031106";"Pegawai Cawang Kawalan Lalu Lintas Udara";"Air Traffic Control Branch Officer"
"";"031107";"Pegawai Cawang Kawalan Pertahanan Udara";"Air Defence Control Branch Officer"
"";"031108";"Pegawai Cawang Bomba";"Fire Brigade Branch Officer"
"";"031109";"Pegawai Cawang Jurutera Penerbangan";"Flight Engineer Branch Officer"
"";"031110";"Pegawai Cawang Jurusensor Senjata";"Weapon Sensor Branch Officer"
"";"0321";"ANGGOTA LAIN-LAIN PANGKAT (TUDM)";"PERSONNEL OF OTHER RANKS (RMAF)"
"";"032101";"Juruteknik Aeromech";"Aeromech Technician"
"";"032102";"Juruteknik Avionic";"Avionics Technician"
"";"032103";"Juruteknik Aerospace Support Engineering";"Aerospace Support Engineering Technician"
"";"032104";"Juruteknik Aviation Information Technology";"Aviation Information Technology Technician"
"";"032105";"Juruteknik Rangka Kapal Terbang";"Airframe Technician"
"";"032106";"Juruteknik Enjin";"Engine Technician"
"";"032107";"Juruteknik Elektrik";"Electrical Technician"
"";"032108";"Juruteknik Instrumen";"Instrument Technician"
"";"032109";"Juruteknik Elektron";"Electron Technician"
"";"032110";"Juruteknik Senjata";"Weapon Technician"
"";"032111";"Juruteknik Alat Bantuan Udara";"Aviation Support Equipment Technician"
"";"032112";"Pembantu Statik";"Statistical Assistant"
"";"032113";"Juruteknik Permukaan dan Keselamatan";"Surface and Safety Technicians"
"";"032114";"Juruteknik Tukang Kayu";"Woodworker Technician"
"";"032115";"Kuartermaster Udara";"Air Quartermaster"
"";"032116";"Pramugari";"Stewardess"
"";"032117";"Juruteknik Pengawasan Udara";"Air Surveillance Technician"
"";"032118";"Pembantu Kawalan Trafik Udara";"Air Traffic Control Assistant"
"";"032119";"Ahli Bomba";"Fire Brigade"
"";"032120";"Juru Katalog (Meterial)";"Catalog (Meterial)"
"";"032121";"Pemandu";"Driver"
"";"032122";"Pembantu Tadbir";"Administrative Assistant"
"";"032123";"Pembantu Pertahanan";"Provost"
"";"032124";"Jurulatih Jasmani (TUDM)";"Physical Trainer (RMAF)"
"";"032125";"Anggota Pancaragam (TUDM)";"Member of the Brass Band (RMAF)"
"";"1";"PENGURUS";"MANAGERS"
"";"1111";"PENGGUBAL UNDANG-UNDANG";"LEGISLATORS"
"";"111101";"Perdana Menteri";"Prime Minister"
"";"111102";"Timbalan Perdana Menteri";"Deputy Prime Minister"
"";"111103";"Menteri";"Minister"
"";"111104";"Timbalan Menteri";"Deputy Minister"
"";"111105";"Ahli Parlimen";"Members of Parliament"
"";"111106";"Ketua Menteri";"Chief Minister"
"";"111107";"Exco Negeri";"State Exco"
"";"111108";"Ahli Dewan Undangan Negeri";"Member of the State Legislative Assembly"
"";"111109";"Timbalan Ketua Menteri";"Deputy Chief Minister"
"";"111110";"Menteri Muda";"Junior Minister"
"";"111111";"Menteri Besar";"Menteri Besar"
"";"111112";"Yang di-Pertua Dewan Negara";"President of The Senate"
"";"111113";"Timbalan Yang di-Pertua Dewan Negara";"Deputy Presidents of the Senate"
"";"111114";"Ahli Dewan Negara";"Member of the Senate"
"";"111115";"Yang di-Pertua Dewan Rakyat";"Speaker of the House Representatives"
"";"111116";"Timbalan Yang di-Pertua Dewan Rakyat";"Deputy Speaker of the House Representatives"
"";"1112";"PEGAWAI KANAN KERAJAAN";"SENIOR GOVERNMENT OFFICIALS"
"";"111201";"Penyimpan Mohor Besar Raja-Raja";"The Keeper of the Rulers` Seal"
"";"111202";"Ketua Setiausaha Negara";"Chief Secretary to the Government"
"";"111203";"Ketua Pengarah Perkhidmatan Awam";"Director-General of Public Service"
"";"111204";"Peguam Negara";"Attorney General"
"";"111205";"Ketua Setiausaha Perbendaharaan";"Secretary General of Treasury"
"";"111206";"Ketua Audit Negara";"Auditor General"
"";"111207";"Ketua Polis Negara";"Inspector-General of Police"
"";"111208";"Ketua Pengarah Kesihatan";"Director-General of Health"
"";"111209";"Panglima Angkatan Tentera";"Chief of Defence Force"
"";"111210";"Akauntan Negara";"Accountant General"
"";"111211";"Gabenor";"Governor"
"";"111212";"Ketua Pengarah Kastam";"Director-General of Customs"
"";"111213";"Ketua Pengarah Bomba";"Director-General of Fire and Rescue"
"";"111214";"Ketua Setiausaha Kementerian";"Secretary-General of Ministry"
"";"111215";"Ketua Pengarah Jabatan Kerajaan";"Director-General of Government Department"
"";"111216";"Pengurus Besar, Kerajaan Serantau";"Director-General of  Regional Government"
"";"111217";"Ketua Jabatan Kerajaan";"Head of Government Department"
"";"111218";"Ketua Perangkawan";"Chief Statistician"
"";"111219";"Setiausaha Suruhanjaya";"Secretary of Commission"
"";"111220";"Setiausaha Kerajaan Negeri";"State Secretary"
"";"111221";"Timbalan Setiausaha Kerajaan Negeri";"Deputy State Secretary of Government"
"";"111222";"Ketua Pegawai Eksekutif Badan Berkanun";"Chief Executive Officer of Statutory Body"
"";"111223";"Ketua Eksekutif Badan Berkanun";"Chief Executive of Statutory Body"
"";"111224";"Ketua Pengarah Badan Berkanun";"Director-General of Statutory Body"
"";"111225";"Pengarah Besar Badan Berkanun";"Director of Statutory Body"
"";"111226";"Duta";"Ambassador"
"";"111227";"Konsul Besar";"Consul-General"
"";"111228";"Pesuruhjaya Tinggi Kerajaan";"High Commissioner of Government"
"";"111229";"Setiausaha Kedutaan";"Secretary of Embassy"
"";"111230";"Datuk Bandar";"Mayor"
"";"111231";"Yang Dipertua Pihak Berkuasa Tempatan";"President of Local Authority"
"";"111232";"Setiausaha Dewan Negara";"Secretary of the Senate"
"";"111233";"Setiausaha Dewan Rakyat";"Secretary of the House of Representatives"
"";"111234";"Pesuruhjaya Polis";"Police Commissioner"
"";"111235";"Ketua Pentadbir Parlimen";"Chief Administrator Parliament"
"";"111236";"Pengarah Pejabat Pos";"Postmaster General"
"";"111237";"Timbalan Ketua Setiausaha Pentadbiran Kerajaan";"Deputy Secretary-General, Government Administration"
"";"111238";"Ketua Bahagian/Seksyen/Unit ";"Head of Division/Section/Unit Gred 52"
"";"111239";"Laksamana Madya Maritim";"Vice Admiral Maritime"
"";"111240";"Laksamana Muda Maritim";"Rear Admiral Maritime"
"";"111241";"Timbalan Ketua Polis Negara";"Deputy Inspector General of Police"
"";"111242";"Timbalan Pesuruhjaya Polis";"Deputy Commissioner of Police"
"";"111243";"Atase";"Attache"
"";"1113";"KETUA ADAT DAN KETUA KAMPUNG";"TRADITIONAL CHIEFS AND HEADS OF VILLAGE"
"";"111301";"Penghulu Gred NP29";"Headman Grade NP29"
"";"111302";"Demang";"Demang"
"";"111303";"Penggawa";"Penggawa"
"";"111304";"Ketua Kampung";"Village Head"
"";"111305";"Tok Sidang";"Tok Sidang"
"";"111306";"Ketua Anak Negeri";"Native Chief"
"";"111307";"Tok Batin";"Tok Batin"
"";"111308";"Kapitan";"Kapitan"
"";"111309";"Tuai Rumah";"Tuai Rumah"
"";"111310";"Ketua Adat";"Traditional Chief"
"";"111311";"Ketua Kampung Baru";"New Village Head"
"";"111312";"Undang";"Undang"
"";"111313";"Luak";"Luak"
"";"111314";"Perut";"Perut"
"";"111315";"Buapak";"Buapak"
"";"111316";"Orang Besar Berempat";"Orang Besar Berempat"
"";"111317";"Orang Besar Berlapan";"Orang Besar Berlapan"
"";"111318";"Orang Besar Berenam Belas";"Orang Besar Berenam Belas"
"";"111319";"Orang Besar Bertiga Puluh Dua";"Orang Besar Bertiga Puluh Dua"
"";"1114";"PEGAWAI KANAN PERTUBUHAN BERKEPENTINGAN KHAS";"SENIOR OFFICIALS OF SPECIAL - INTEREST ORGANIZATIONS"
"";"111401";"Presiden Parti Politik";"President of Political Party"
"";"111402";"Presiden Persekutuan Majikan-Majikan";"President of Employers` Federation"
"";"111403";"Presiden Kongres Kesatuan Sekerja";"President of Trades Union Congress"
"";"111404";"Presiden Kongres Kesatuan Pekerja-Pekerja di dalam Perkhidmatan Awam";"President of Congress of Union of Employees in the Public And Civil Services"
"";"111405";"Ketua Setiausaha Organisasi Berkepentingan Khas";"Secretary-General, Special Interest Organization"
"";"111406";"Ketua Setiausaha Organisasi Bulan Sabit Merah";"Secretary-General, Red Crescent Organization"
"";"111407";"Ketua Setiausaha Organisasi Hak Manusia";"Secretary-General, Human Rights Organization"
"";"111408";"Ketua Setiausaha Organisasi Kemanusiaan";"Secretary-General, Humanitarian Organization"
"";"111409";"Ketua Setiausaha Organisasi Palang Merah";"Secretary-General, Red Cross Organization"
"";"111410";"Ketua Setiausaha Organisasi Perlindungan Alam Sekitar";"Secretary-General, Environmental Protection Organization"
"";"111411";"Ketua Setiausaha Organisasi Perlindungan Hidupan Liar";"Secretary-General, Wildlife Protection Organization"
"";"111412";"Pegawai Kanan Organisasi Berkepentingan Khas";"Senior Officials of Special Interest Organization"
"";"111413";"Pegawai Kanan Organisasi Kemanusiaan";"Senior Officials of Humanitarian Organization"
"";"1121";"PENGARAH URUSAN DAN KETUA EKSEKUTIF";"MANAGING DIRECTORS AND CHIEF EXECUTIVES"
"";"112101";"Ketua Pegawai Eksekutif";"Chief Executive Officer"
"";"112102";"Ketua Pegawai Operasi";"Chief Operating Officer"
"";"112103";"Ketua Pegawai Perundangan";"Chief Legal Officer"
"";"112104";"Ketua Pegawai Teknikal";"Chief Technical Officer"
"";"112105";"Pengarah Eksekutif";"Executive Director"
"";"112106";"Pengarah Syarikat";"Company Director"
"";"112107";"Timbalan Pengarah Eksekutif";"Deputy Executive Director"
"";"112108";"Pengarah Urusan";"Managing Director"
"";"112109";"Pengarah Perusahaan";"Enterprise Director"
"";"112110";"Pengerusi Perusahaan";"Enterprise Chairman"
"";"112111";"Pengurus Lapangan Terbang";"Airport Manager"
"";"112112";"Pengurus Pelabuhan";"Harbour Manager"
"";"112113";"Pengurus Penyiaran Radio dan Televisyen";"Radio and Television Manager, Broadcasting,"
"";"112114";"Pengurus Program Radio dan Televisyen";"Radio & Television Manager, Programme"
"";"112115";"Ketua Pengarah Perusahaan";"Director-General of Enterprise"
"";"112116";"Ketua Eksekutif Organisasi";"Chief Executive of Organization"
"";"112117";"Ketua Pengarah Organisasi";"Director-General of Organization"
"";"112118";"Pengarah Urusan Organisasi";"Managing-Director of Organization"
"";"112119";"Pengarah Organisasi";"Director of Organization"
"";"112120";"Pengerusi Organisasi";"Chairperson of Organization"
"";"112121";"Presiden Organisasi";"President of Organization"
"";"112122";"Pengurus";"Manager"
"";"112123";"Pengurus Besar";"General Manager"
"";"112124";"Pengurus Operasi";"Operations Manager"
"";"112125";"Pengarah";"Director"
"";"112126";"Pentadbir";"Administrator"
"";"112127";"Presiden";"President"
"";"112128";"Pengurus Teknikal";"Technical Manager"
"";"112129";"Pengurus Gred P2";"Manager Grade P2"
"";"112130";"Pengurus Kanan Gred P1";"Senior Manager Grade P1"
"";"112131";"Penolong Pengurus Gred P3";"Assistant Manager Grade P3"
"";"112132";"Ketua Operasi";"Head of Operation"
"";"112133";"Penolong Pengurus";"Assistant Manager"
"";"112134";"Penolong Ketua Pegawai Operasi";"Assistant Chief Operating Officer"
"";"112135";"Pengarah Teknikal";"Technical Director"
"";"1211";"PENGURUS KEWANGAN";"FINANCE MANAGERS"
"";"121101";"Ketua Pegawai Kewangan";"Chief Financial Officer (CFO)"
"";"121102";"Pengurus Kewangan";"Finance Manager"
"";"121103";"Pengurus Akaun";"Account Manager"
"";"121104";"Pengurus Belanjawan";"Budget Manager"
"";"121105";"Pengurus Audit";"Audit Manager"
"";"121106";"Pengurus Audit dan Pengurusan Risiko";"Audit and Risk Management Manager"
"";"121107";"Pengurus Kredit";"Credit Manager"
"";"121108";"Pengurus Insurans";"Insurance Manager"
"";"121109";"Pengurus Dana";"Fund Manager"
"";"121110";"Pengurus Perbendaharaan";"Treasury Manager"
"";"121111";"Pengurus Kewangan dan Institusi";"Financial and Institution Manager"
"";"121112";"Pengurus Perbelanjaan";"Expenditure Manager"
"";"121113";"Pengurus Pemantauan Transaksi";"Transaction Monitoring Manager"
"";"121114";"Pengurus Cukai";"Tax Manager"
"";"121115";"Pengurus Tuntutan";"Claim Manager"
"";"121116";"Pengarah Kewangan";"Finance Director"
"";"121117";"Ketua Pengawal Kewangan";"Chief Financial Controller"
"";"121118";"Pengurus Teknikal (Perakaunan)";"Technical Manager (Accounting)"
"";"121119";"Pengurus Risiko";"Risk Manager"
"";"121120";"Ketua Perolehan";"Head of Procurement"
"";"121121";"Pengurus Perolehan";"Procurement Manager"
"";"121122";"Pengurus Pemodelan Risiko";"Risk Modelling Manager"
"";"121123";"Pengurus Penilaian Aktuari";"Actuarial Valuation Manager"
"";"121124";"Pengurus Pembidaan";"Bidding Manager"
"";"121125";"Pengurus Audit Tenaga";"Energy Audit Manager"
"";"121126";"Penolong Pengurus Audit Tenaga";"Energy Audit Assistant Manager"
"";"121127";"Pengurus Harga Pindahan";"Transfer Pricing Manager"
"";"121128";"Ketua Pengurusan Penajajaminan dan Portfolio";"Head of Underwriting dan Portfolio Management"
"";"121129";"Ketua Tuntutan";"Head of Claims"
"";"1212";"PENGURUS SUMBER MANUSIA";"HUMAN RESOURCE MANAGERS"
"";"121201";"Ketua Pegawai Sumber Manusia";"Chief Human Resources Officer"
"";"121202";"Pengurus Sumber Manusia";"Human Resource Manager"
"";"121203";"Pengurus Latihan";"Training Manager"
"";"121204";"Pengurus Perhubungan Perindustrian";"Industrial Relations Manager"
"";"121205";"Pengurus Kesihatan dan Keselamatan Pekerjaan";"Occupational Safety and Health Manager"
"";"121206";"Pengurus Personel";"Personnel Manager"
"";"121207";"Pengurus Perekrutan";"Recruitment Manager"
"";"121208";"Pengurus Keselamatan Pekerjaan";"Occupational Safety Manager"
"";"121209";"Pengurus Pembangunan Pembelajaran dan Organisasi";"Learning and Organization Development Manager"
"";"121210";"Pengurus Pampasan dan Faedah";"Compensation and Benefits Manager"
"";"121211";"Pengurus Bakat dan Prestasi Organisasi";"Talent and Organization Performance Manager"
"";"121212";"Pengurus Latihan, Industri Halal";"Training Manager, Halal Industry"
"";"121213";"Pengurus Kesihatan, Keselamatan, Alam Sekitar & Kualiti";"Health, Safety, Environment & Quality Manager"
"";"1213";"PENGURUS DASAR DAN PERANCANGAN";"POLICY AND PLANNING MANAGERS"
"";"121301";"Pengurus Dasar dan Perancangan";"Policy and Planning Manager"
"";"121302";"Pengurus Perancangan Strategik";"Strategic Planning Manager"
"";"121303";"Pengurus Perancangan Korporat";"Corporate Planning Manager"
"";"121304";"Pengurus Dasar dan Penyelidikan";"Policy and Research Manager"
"";"121305";"Pengurus Perancangan Projek";"Project Planning Manager"
"";"121306";"Ketua Projek";"Project Leader"
"";"121307";"Pengurus Program";"Programme Manager"
"";"121308";"Pengurus Hal Ehwal Pengaturan";"Regulatory Affairs Manager"
"";"121309";"Pengurus Perancangan";"Planning Manager"
"";"1214";"PENGURUS PERKHIDMATAN PERNIAGAAN";"BUSINESS SERVICES MANAGERS"
"";"121401";"Ketua Pegawai Pematuhan";"Chief Compliance Officer"
"";"121402";"Pengurus Pengeluaran";"Production Manager"
"";"121403";"Pengurus Pengeluaran dan Operasi Perniagaan";"Production and Business Operation Manager"
"";"121404";"Pengurus Perkhidmatan Pembangunan Perniagaan";"Business Services Development Manager"
"";"121405";"Perancang Pengeluaran";"Production Planner"
"";"121406";"Pengawal Pengeluaran";"Production Controller"
"";"121407";"Pengurus Pembangunan Perniagaan";"Business Development Manager"
"";"121408";"Pengurus Pematuhan";"Compliance Manager"
"";"121409";"Pengurus Fesyen dan Pakaian";"Fashion and Garment Manager"
"";"121410";"Pengurus Pematuhan Halal";"Halal Compliance Manager"
"";"121411";"Pengurus Rantaian Bekalan";"Supply Chain Manager"
"";"121412";"Pengurus Pembangunan Perniagaan dan Produk";"Business and Product Development Manager"
"";"121413";"Pengurus Kemampanan";"Sustainability Manager"
"";"121414";"Pengurus Projek";"Project Manager"
"";"121415";"Penolong Pengurus Projek";"Assistant Project Manager"
"";"121416";"Pengurus Teknologi";"Technology Manager"
"";"1215";"PENGURUS PENTADBIRAN";"ADMINISTRATIVE MANAGERS"
"";"121501";"Pengurus Pentadbiran";"Administrative Manager"
"";"121502";"Pengurus Perkhidmatan Pentadbiran";"Administrative Services Manager"
"";"121503";"Ketua Pembangunan Aset";"Asset Development Lead"
"";"121504";"Pengurus Prasarana";"Infrastructure Manager"
"";"121505";"Pengurus Perkhidmatan Korporat";"Corporate Services Manager"
"";"121506";"Ketua Komunikasi Korporat";"Head of Corporate Communications"
"";"1216";"PENGURUS KUALITI";"QUALITY MANAGERS"
"";"121601";"Pengurus Kawalan Kualiti";"Quality Control Manager"
"";"121602";"Pengurus Jaminan Kualiti";"Quality Assurance Manager"
"";"121603";"Pengurus Jaminan Kualiti, Pengilangan Makanan Halal";"Quality Assurance Manager, Halal Food Manufacturing"
"";"121604";"Pengurus Jaminan Kualiti, Pemprosesan Daging Halal";"Quality Assurance Manager, Halal Meat Processing"
"";"1219";"PENGURUS PERKHIDMATAN PERNIAGAAN DAN PENTADBIRAN YANG TIDAK DIKELASKAN DI MANA-MANA";"BUSINESS SERVICES AND ADMINISTRATION MANAGERS NOT ELSEWHERE CLASSIFIED"
"";"1221";"PENGURUS JUALAN DAN PEMASARAN";"SALES AND MARKETING MANAGERS"
"";"122101";"Ketua Pegawai Pemasaran";"Chief Marketing Officer"
"";"122102";"Pengurus Jualan";"Sales Manager"
"";"122103";"Pengurus Jualan dan Pemasaran";"Sales and Marketing Manager"
"";"122104";"Pengurus Pemasaran";"Marketing Manager"
"";"122105";"Pengurus Promosi Jualan";"Sales Promotion Manager"
"";"122106";"Pengurus Penyelidikan Pasaran";"Market Research Manager"
"";"122107";"Pengurus Produk";"Product Manager"
"";"122108";"Pengurus Jenama";"Brand Manager"
"";"122109";"Pengurus Pasar Raya";"Supermarket Manager"
"";"122110";"Pengurus Pusat Beli-Belah";"Shopping Centre Manager"
"";"122111";"Pengurus Runcit";"Outlet Manager"
"";"122112";"Pengurus Rakan Kongsi Saluran";"Channel Partner Manager"
"";"122113";"Pengarah Jualan";"Sales Director"
"";"122114";"Pengurus Cawangan";"Branch Manager"
"";"122115";"Penolong Pengurus Cawangan";"Assistant Branch Manager"
"";"122116";"Pengurus Pemasaran Digital";"Digital Marketing Manager"
"";"122117";"Penolong Pengurus Pemasaran Digital";"Digital Marketing Assistant Manager"
"";"1222";"PENGURUS PENGIKLANAN DAN PERHUBUNGAN AWAM";"ADVERTISING AND PUBLIC RELATIONS MANAGERS"
"";"122201";"Pengurus Pengiklanan";"Advertising Manager"
"";"122202";"Pengurus Hal Ehwal Am";"General Affairs Manager"
"";"122203";"Pengurus Komunikasi";"Communications Manager"
"";"122204";"Pengurus Perhubungan Awam";"Public Relations Manager"
"";"122205";"Pengurus Pameran";"Display Manager"
