"#";"kod-kp";"nombor";"seksyen MSIC 2025";"seksyen MSIC 2008";"MSIC 2025";"keterangan 2025";"MSIC 2008(sebahagian)";"MSIC 2008";"keterangan MSIC 2008"
"";""101-Tanaman";"46";"A";"A";"01239";"Growing of other citrus fruits n.e.c.";"01239";"01239";"Growing of other citrus fruits n.e.c."
"";""101-Tanaman";"47";"A";"A";"01241";"Growing of guava";"01241";"01241";"Growing of guava"
"";""101-Tanaman";"48";"A";"A";"01249";"Growing of other pome fruits and stones fruits n.e.c.";"01249";"01249";"Growing of other pome fruits and stones fruits n.e.c."
"";""101-Tanaman";"49";"A";"A";"01251";"Growing of berries";"01251";"01251";"Growing of berries"
"";""101-Tanaman";"50";"A";"A";"01252";"Growing of fruit seeds";"01252";"01252";"Growing of fruit seeds"
"";""101-Tanaman";"51";"A";"A";"01253";"Growing of edible nuts";"01253";"01253";"Growing of edible nuts"
"";""101-Tanaman";"52";"A";"A";"01259";"Growing of other tree and bush fruits";"01259";"01259";"Growing of other tree and bush fruits"
"";""101-Tanaman";"53";"A";"A";"01261";"Growing of oil palm (estate)";"01261";"01261";"Growing of oil palm (estate)"
"";""101-Tanaman";"54";"A";"A";"01262";"Growing of oil palm (smallholdings)";"01262";"01262";"Growing of oil palm (smallholdings)"
"";""101-Tanaman";"55";"A";"A";"01263";"Growing of coconut (estate and smallholdings)";"01263";"01263";"Growing of coconut (estate and smallholdings)"
"";""101-Tanaman";"56";"A";"A";"01269";"Growing of other oleaginous fruits n.e.c.";"01269";"01269";"Growing of other oleaginous fruits n.e.c."
"";""101-Tanaman";"57";"A";"A";"01271";"Growing of coffee";"01271";"01271";"Growing of coffee"
"";""101-Tanaman";"58";"A";"A";"01272";"Growing of tea";"01272";"01272";"Growing of tea"
"";""101-Tanaman";"59";"A";"A";"01273";"Growing of cocoa";"01273";"01273";"Growing of cocoa"
"";""101-Tanaman";"60";"A";"A";"01279";"Growing of other beverage crops n.e.c.";"01279";"01279";"Growing of other beverage crops n.e.c."
"";""101-Tanaman";"61";"A";"A";"01281";"Growing of pepper (piper nigrum)";"01281";"01281";"Growing of pepper (piper nigrum)"
"";""101-Tanaman";"62";"A";"A";"01170";"Growing of chilies and peppers (capsicum spp.)";"01282";"01282";"Growing of chilies and pepper (capsicum spp.)"
"";""101-Tanaman";"63";"A";"A";"01283";"Growing of nutmeg";"01283";"01283";"Growing of nutmeg"
"";""101-Tanaman";"64";"A";"A";"01284";"Growing of ginger";"01284";"01284";"Growing of ginger"
"";""101-Tanaman";"65";"A";"A";"01285";"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes";"01285";"01285";"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
"";""101-Tanaman";"66";"A";"A";"01289";"Growing of other spices and aromatic crops n.e.c.";"01289";"01289";"Growing of other spices and aromatic crops n.e.c."
"";""101-Tanaman";"67";"A";"A";"01282";"Growing of sacha inchi";"01289p";"01289";"Growing of other spices and aromatic crops n.e.c."
"";""101-Tanaman";"68";"A";"A";"01291";"Growing of rubber trees (estate)";"01291";"01291";"Growing of rubber trees (estate)"
"";""101-Tanaman";"69";"A";"A";"01292";"Growing of rubber trees (smallholdings)";"01292";"01292";"Growing of rubber trees (smallholdings)"
"";""101-Tanaman";"70";"A";"A";"01293";"Growing of trees for extraction of sap";"01293";"01293";"Growing of trees for extraction of sap"
"";""101-Tanaman";"71";"A";"A";"01294";"Growing of nipa palm";"01294";"01294";"Growing of nipa palm"
"";""101-Tanaman";"72";"A";"A";"01295";"Growing of areca";"01295";"01295";"Growing of areca"
"";""101-Tanaman";"73";"A";"A";"01195";"Growing of roselle";"01296";"01296";"Growing of roselle"
"";""101-Tanaman";"74";"A";"A";"01299";"Growing of other perennial crops n.e.c.";"01299";"01299";"Growing of other perennial crops n.e.c."
"";""101-Tanaman";"75";"A";"A";"01301";"Growing of plants for planting";"01301";"01301";"Growing of plants for planting"
"";""101-Tanaman";"76";"A";"A";"01302";"Growing of plants for ornamental purposes";"01302";"01302";"Growing of plants for ornamental purposes"
"";""101-Tanaman";"77";"A";"A";"01303";"Growing of live plants for bulbs, tubers and roots| cuttings and slips| mushroom spawn";"01303";"01303";"Growing of live plants for bulbs, tubers and roots| cuttings and slips| mushroom spawn"
"";""101-Tanaman";"78";"A";"A";"01304";"Operation of tree nurseries";"01304";"01304";"Operation of tree nurseries"
"";""101-Tanaman";"79";"A";"A";"01413";"Raising, breeding and production of buffaloes";"01411p";"01411";"Raising, breeding and production of cattle or buffaloes"
"";""101-Tanaman";"80";"A";"A";"01411";"Raising, breeding and production of cattle";"01411p, 01413";"01411";"Raising, breeding and production of cattle or buffaloes"
"";""101-Tanaman";"81";"A";"A";"01412";"Production of raw milk from cows or buffaloes";"01412";"01412";"Production of raw milk from cows or buffaloes"
"";""101-Tanaman";"82";"A";"A";"01411";"Raising, breeding and production of cattle";"01411p, 01413";"01413";"Production of bovine semen"
"";""101-Tanaman";"83";"A";"A";"01420";"Raising and breeding of horses, asses, mules or hinnes";"01420";"01420";"Raising and breeding of horses, asses, mules or hinnes"
"";""101-Tanaman";"84";"A";"A";"01430";"Raising and breeding of camels (dromedary) and camelids";"01430";"01430";"Raising and breeding of camels (dromedary) and camelids"
"";""101-Tanaman";"85";"A";"A";"01441";"Raising, breeding and production of sheep";"01441p";"01441";"Raising, breeding and production of sheep and goats"
"";""101-Tanaman";"86";"A";"A";"01442";"Raising, breeding and production of goats";"01441p";"01441";"Raising, breeding and production of sheep and goats"
"";""101-Tanaman";"87";"A";"A";"01443";"Production of raw milk of sheep or goats";"01442";"01442";"Production of raw sheep or goat’s milk"
"";""101-Tanaman";"88";"A";"A";"01444";"Production of raw wool";"01443";"01443";"Production of raw wool"
"";""101-Tanaman";"89";"A";"A";"01450";"Raising, breeding and production of swine/pigs";"01450";"01450";"Raising, breeding and production of swine/pigs"
"";""103-Ternakan";"90";"A";"A";"01461";"Raising, breeding and production of chicken, broiler";"01461p";"01461";"Raising, breeding and production of chicken, broiler"
"";""103-Ternakan";"91";"A";"A";"01463";"Raising, breeding and production of laying hens";"01461p";"01461";"Raising, breeding and production of chicken, broiler"
"";""103-Ternakan";"92";"A";"A";"01462";"Raising, breeding and production of ducks";"01462";"01462";"Raising, breeding and production of ducks"
"";""103-Ternakan";"93";"A";"A";"01465";"Raising and breeding of other poultry n.e.c.";"01463, 01465";"01463";"Raising, breeding and production of geese"
"";""103-Ternakan";"94";"A";"A";"01464";"Raising, breeding and production of quails";"01464";"01464";"Raising, breeding and production of quails"
"";""103-Ternakan";"95";"A";"A";"01465";"Raising and breeding of other poultry n.e.c.";"01463, 01465";"01465";"Raising and breeding of other poultry n.e.c."
"";""103-Ternakan";"96";"A";"A";"01466";"Production of chicken eggs";"01466";"01466";"Production of chicken eggs"
"";""103-Ternakan";"97";"A";"A";"01467";"Production of duck eggs";"01467";"01467";"Production of duck eggs"
"";""103-Ternakan";"98";"A";"A";"01468";"Production of other poultry eggs n.e.c.";"01468";"01468";"Production of other poultry eggs n.e.c."
"";""103-Ternakan";"99";"A";"A";"01469";"Operation of poultry hatcheries";"01469";"01469";"Operation of poultry hatcheries"
"";""103-Ternakan";"100";"A";"A";"01491";"Raising, breeding and production of semi-domesticated";"01491";"01491";"Raising, breeding and production of semi-domesticated"
"";""103-Ternakan";"101";"A";"A";"01492";"Production of fur skins, reptile or bird’s skin from ranching operation";"01492";"01492";"Production of fur skins, reptile or bird’s skin from ranching operation"
"";""103-Ternakan";"102";"A";"A";"01493";"Operation of worm farms, land mollusc farms, snail farms";"01493";"01493";"Operation of worm farms, land mollusc farms, snail farms"
"";""103-Ternakan";"103";"A";"A";"01494";"Raising of silk worms and production of silk worm cocoons";"01494";"01494";"Raising of silk worms and production of silk worm cocoons"
"";""103-Ternakan";"104";"A";"A";"01495";"Bee keeping and production of honey and beeswax";"01495";"01495";"Bee keeping and production of honey and beeswax"
"";""103-Ternakan";"105";"A";"A";"01496";"Raising and breeding of pet animals";"01496";"01496";"Raising and breeding of pet animals"
"";""103-Ternakan";"106";"A";"A";"01497";"Raising and breeding of swiflet";"01497";"01497";"Raising and breeding of swiflet"
"";""103-Ternakan";"107";"A";"A";"01499";"Raising of diverse/other animals n.e.c.";"01499";"01499";"Raising of diverse/other animals n.e.c."
"";""103-Ternakan";"108";"A";"A";"01500";"Mixed farming";"01500";"01500";"Mixed farming"
"";""103-Ternakan";"109";"A";"A";"01610";"Agricultural activities for crops production on a fee or contract basis";"01610";"01610";"Agricultural activities for crops production on a fee or contract basis"
"";""103-Ternakan";"110";"A";"A";"01620";"Agricultural activities for animal production on a fee or contract basis";"01620";"01620";"Agricultural activities for animal production on a fee or contract basis"
"";""103-Ternakan";"111";"A";"A";"01631";"Preparation of crops for primary markets";"01631p";"01631";"Preparation of crops for primary markets"
"";""103-Ternakan";"112";"A";"A";"01639";"Other post-harvest crops activities n.e.c";"01631p";"01631";"Preparation of crops for primary markets"
"";""103-Ternakan";"113";"A";"A";"01632";"Preparation of tobacco leaves";"01632";"01632";"Preparation of tobacco leaves"
"";""103-Ternakan";"114";"A";"A";"01633";"Preparation of cocoa beans";"01633";"01633";"Preparation of cocoa beans"
"";""103-Ternakan";"115";"A";"A";"01634";"Sun-drying of fruits and vegetables";"01634";"01634";"Sun-drying of fruits and vegetables"
"";""103-Ternakan";"116";"A";"A";"01640";"Seed processing for propagation";"01640";"01640";"Seed processing for propagation"
"";""103-Ternakan";"117";"A";"A";"01701";"Hunting and trapping on a commercial basis";"01701";"01701";"Hunting and trapping on a commercial basis"
"";""103-Ternakan";"118";"A";"A";"01702";"Taking of wilds animals (dead or alive)";"01702";"01702";"Taking of animals (dead or alive)"
"";""101-Tanaman";"119";"A";"A";"02101";"Planting, replanting, transplanting, thinning and conserving of forests and timber tracts";"02101";"02101";"Planting, replanting, transplanting, thinning and conserving of forests and timber tracts"
"";""101-Tanaman";"120";"A";"A";"02102";"Growing of coppice, pulpwood and fire wood";"02102";"02102";"Growing of coppice, pulpwood and fire wood"
"";""103-Ternakan";"121";"A";"A";"02103";"Operation of forest tree nurseries";"02103";"02103";"Operation of forest tree nurseries"
"";""101-Tanaman";"122";"A";"A";"02104";"Collection and raising of wildings (peat swamp forest tree species)";"02104";"02104";"Collection and raising of wildings (peat swamp forest tree species)"
"";""101-Tanaman";"123";"A";"A";"02105";"Forest plantation";"02105";"02105";"Forest plantation"
"";""101-Tanaman";"124";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02201";"Production of round wood for forest-based manufacturing industries"
"";""101-Tanaman";"125";"A";"A";"02201";"Production of round wood for forest-based manufacturing industries";"02201p";"02201";"Production of round wood for forest-based manufacturing industries"
"";""101-Tanaman";"126";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02202";"Production of round wood used in an unprocessed form"
"";""101-Tanaman";"127";"A";"A";"02202";"Production of round wood used in an unprocessed form";"02202p";"02202";"Production of round wood used in an unprocessed form"
"";""191-Lain-lain Aktiviti Pertanian";"128";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02203";"Production of charcoal in the forest (using traditional methods)"
"";""191-Lain-lain Aktiviti Pertanian";"129";"A";"A";"02203";"Production of charcoal in the forest (using traditional methods)";"02203p";"02203";"Production of charcoal in the forest (using traditional methods)"
"";""104-Perhutanan dan Pembalakan";"130";"A";"A";"02205";"Collecting of round wood";"02201p, 02202p, 02203p, 02204p";"02204";"Rubber wood logging"
"";""104-Perhutanan dan Pembalakan";"131";"A";"A";"02204";"Rubber wood logging";"02204p";"02204";"Rubber wood logging"
"";""104-Perhutanan dan Pembalakan";"132";"A";"A";"02301";"Collection of rattan, bamboo";"02301";"02301";"Collection of rattan, bamboo"
"";""104-Perhutanan dan Pembalakan";"133";"A";"A";"02302";"Bird’s nest collection";"02302";"02302";"Bird’s nest collection"
"";""104-Perhutanan dan Pembalakan";"134";"A";"A";"02303";"Wild sago palm collection";"02303";"02303";"Wild sago palm collection"
"";""104-Perhutanan dan Pembalakan";"135";"A";"A";"02309";"Gathering of non-wood forest products n.e.c.";"02309";"02309";"Gathering of non-wood forest products n.e.c."
"";""104-Perhutanan dan Pembalakan";"136";"A";"A";"02401";"Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities";"02401";"02401";"Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities"
"";""104-Perhutanan dan Pembalakan";"137";"A";"A";"02402";"Carrying out part of the forestry operation on a fee or contract basis for logging service activities";"02402";"02402";"Carrying out part of the forestry operation on a fee or contract basis for logging service activities"
"";""104-Perhutanan dan Pembalakan";"138";"A";"A";"03111";"Fishing on a commercial basis in ocean and coastal waters";"03111p";"03111";"Fishing on a commercial basis in ocean and coastal waters"
"";""104-Perhutanan dan Pembalakan";"139";"A";"A";"03116";"Taking of ornamental fish in the sea";"03111p";"03111";"Fishing on a commercial basis in ocean and coastal waters"
"";""104-Perhutanan dan Pembalakan";"140";"A";"A";"03112";"Collection of marine crustaceans and molluscs";"03112";"03112";"Collection of marine crustaceans and molluscs"
"";""104-Perhutanan dan Pembalakan";"141";"A";"A";"03113";"Taking of aquatic animals: sea squirts, tunicates, sea urchins";"03113";"03113";"Taking of aquatic animals: sea squirts, tunicates, sea urchins"
"";""104-Perhutanan dan Pembalakan";"142";"A";"A";"03114";"Activities of vessels engaged both in fishing and in processing and preserving of fish";"03114p";"03114";"Activities of vessels engaged both in fishing and in processing and preserving of fish"
"";""104-Perhutanan dan Pembalakan";"143";"A";"A";"03301";"Activities on vessels involving processing and preserving";"03114p";"03114";"Activities of vessels engaged both in fishing and in processing and preserving of fish"
"";""104-Perhutanan dan Pembalakan";"144";"A";"A";"03115";"Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae)";"03115";"03115";"Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae)"
"";""104-Perhutanan dan Pembalakan";"145";"A";"A";"03119";"Marine fishing n.e.c.";"03119";"03119";"Marine fishing n.e.c."
"";""104-Perhutanan dan Pembalakan";"146";"A";"A";"03121";"Fishing on a commercial basis in inland waters";"03121p";"03121";"Fishing on a commercial basis in inland waters"
"";""104-Perhutanan dan Pembalakan";"147";"A";"A";"03125";"Taking of freshwater ornamental fish";"03121p";"03121";"Fishing on a commercial basis in inland waters"
"";""104-Perhutanan dan Pembalakan";"148";"A";"A";"03122";"Taking of freshwater crustaceans and molluscs";"03122";"03122";"Taking of freshwater crustaceans and molluscs"
"";""105-Perikanan";"149";"A";"A";"03123";"Taking of freshwater aquatic animals";"03123";"03123";"Taking of freshwater aquatic animals"
"";""105-Perikanan";"150";"A";"A";"03124";"Gathering of freshwater flora and fauna";"03124";"03124";"Gathering of freshwater flora and fauna"
"";""105-Perikanan";"151";"A";"A";"03129";"Freshwater fishing n.e.c.";"03129p";"03129";"Freshwater fishing n.e.c."
"";""105-Perikanan";"152";"A";"A";"03309";"Other fisheries and aquaculture support activities n.e.c";"03129p, 03229p";"03129";"Freshwater fishing n.e.c."
"";""105-Perikanan";"153";"A";"A";"03211";"Fish farming in sea water";"03211p";"03211";"Fish farming in sea water"
"";""105-Perikanan";"154";"A";"A";"03216";"Ornamental fish farming";"03211p";"03211";"Fish farming in sea water"
"";""105-Perikanan";"155";"A";"A";"03212";"Production of bivalve spat (oyster, mussel), lobster lings, shrimp post-larvae, fish fry and fingerlings";"03212";"03212";"Production of bivalve spat (oyster, mussel), lobster lings, shrimp post-larvae, fish fry and fingerlings"
"";""105-Perikanan";"156";"A";"A";"03213";"Growing of laver and other edible seaweeds";"03213";"03213";"Growing of laver and other edible seaweeds"
"";""105-Perikanan";"157";"A";"A";"03214";"Culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water";"03214";"03214";"Culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water"
"";""105-Perikanan";"158";"A";"A";"03215";"Aquaculture activities in brackish water";"03215";"03215";"Aquaculture activities in brackish water"
"";""105-Perikanan";"159";"A";"A";"03219";"Other marine aquaculture farming n.e.c";"03216, 03219";"03216";"Aquaculture activities in salt water filled tanks or reservoirs"
"";""105-Perikanan";"160";"A";"A";"03217";"Operation of hatcheries (marine)";"03217";"03217";"Operation of  hatcheries (marine)"
"";""105-Perikanan";"161";"A";"A";"03218";"Operation of marine worm farms for fish feed";"03218";"03218";"Operation of marine worm farms for fish feed"
"";""105-Perikanan";"162";"A";"A";"03219";"Other marine aquaculture farming n.e.c";"03216, 03219";"03219";"Marine aquaculture n.e.c."
"";""105-Perikanan";"163";"A";"A";"03221";"Fish farming in freshwater";"03221p";"03221";"Fish farming in freshwater"
"";""105-Perikanan";"164";"A";"A";"03226";"Ornamental fish farming in freshwater";"03221p";"03221";"Fish farming in freshwater"
"";""105-Perikanan";"165";"A";"A";"03222";"Shrimp farming in freshwater";"03222";"03222";"Shrimp farming in freshwater"
"";""105-Perikanan";"166";"A";"A";"03223";"Culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals";"03223";"03223";"Culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals"
"";""105-Perikanan";"167";"A";"A";"03224";"Operation of hatcheries (freshwater)";"03224";"03224";"Operation of hatcheries (freshwater)"
"";""105-Perikanan";"168";"A";"A";"03225";"Farming of frogs";"03225";"03225";"Farming of frogs"
"";""105-Perikanan";"169";"A";"A";"03229";"Freshwater aquaculture n.e.c.";"03229p";"03229";"Freshwater aquaculture n.e.c."
"";""105-Perikanan";"170";"A";"A";"03302";"Maintenance of aquaculture facilities and equipment";"03229p";"03229";"Activities of vessels engaged both in fishing and in processing and preserving of fish"
"";""105-Perikanan";"171";"A";"A";"03309";"Other fisheries and aquaculture support activities n.e.c";"03129p, 03229p";"03229";"Freshwater aquaculture n.e.c."
"";""105-Perikanan";"172";"B";"B";"05100";"Mining of hard coal";"05100";"05100";"Mining of hard coal"
"";""105-Perikanan";"173";"B";"B";"05200";"Mining of lignite (brown coal)";"05200";"05200";"Mining of lignite (brown coal)"
"";""105-Perikanan";"174";"B";"B";"06100";"Extraction of crude petroleum";"06101, 06102, 06103, 06104";"06101";"Extraction of crude petroleum oils"
"";""105-Perikanan";"175";"B";"B";"06100";"Extraction of crude petroleum";"06101, 06102, 06103, 06104";"06102";"Extraction of bituminous or oil shale and tar sand"
"";""105-Perikanan";"176";"B";"B";"06100";"Extraction of crude petroleum";"06101, 06102, 06103, 06104";"06103";"Production of crude petroleum from bituminous shale and sand"
"";""105-Perikanan";"177";"B";"B";"06100";"Extraction of crude petroleum";"06101, 06102, 06103, 06104";"06104";"Processes to obtain crude oils"
"";""105-Perikanan";"178";"B";"B";"06201";"Extraction of natural gas ";"06201, 06203, 06204, 06205";"06201";"Production of crude gaseous hydrocarbon (natural gas)"
"";""105-Perikanan";"179";"B";"B";"06202";"Extraction of condensates";"06202";"06202";"Extraction of condensates"
"";""105-Perikanan";"180";"B";"B";"06201";"Extraction of natural gas ";"06201, 06203, 06204, 06205";"06203";"Draining and separation of liquid hydrocarbon fractions"
"";""105-Perikanan";"181";"B";"B";"06201";"Extraction of natural gas ";"06201, 06203, 06204, 06205";"06204";"Gas desulphurization"
"";""105-Perikanan";"182";"B";"B";"06201";"Extraction of natural gas ";"06201, 06203, 06204, 06205";"06205";"Mining of hydrocarbon liquids, obtain through liquefaction or pyrolysis"
"";""200-Perlombongan Mineral dan Pengkuarian";"183";"B";"B";"07101";"Mining of ores valued chiefly for iron content";"07101";"07101";"Mining of ores valued chiefly for iron content"
"";""200-Perlombongan Mineral dan Pengkuarian";"184";"B";"B";"07102";"Beneficiation and agglomeration of iron ores";"07102";"07102";"Beneficiation and agglomeration of iron ores"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"185";"B";"B";"07210";"Mining of uranium and thorium ores";"07210";"07210";"Mining of uranium and thorium ores"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"186";"B";"B";"07291";"Mining of tin ores";"07291";"07291";"Mining of tin ores"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"187";"B";"B";"07292";"Mining of copper";"07292";"07292";"Mining of copper"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"188";"B";"B";"07293";"Mining of bauxite (aluminium)";"07293";"07293";"Mining of bauxite (aluminium)"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"189";"B";"B";"07294";"Amang retreatment";"07294, 07298";"07294";"Mining of ilmenite"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"190";"B";"B";"07295";"Mining of gold and silver";"07295, 07296";"07295";"Mining of gold"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"191";"B";"B";"07295";"Mining of gold and silver";"07295, 07296";"07296";"Mining of silver"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"192";"B";"B";"07299";"Mining of other non-ferrous metal ores n.e.c";"07297, 07299p";"07297";"Mining of platinum"
"";""207-Perlombongan Minyak Mentah dan Gas Asli";"193";"B";"B";"07294";"Amang retreatment";"07294, 07298";"07298";"Amang retreatment"
"";""200-Perlombongan Mineral dan Pengkuarian";"194";"B";"B";"07299";"Mining of other non-ferrous metal ores n.e.c";"07297, 07299p";"07299";"Mining of other non-ferrous metal ores n.e.c. "
"";""200-Perlombongan Mineral dan Pengkuarian";"195";"B";"B";"07296";"Mining of rare earth element (REE) ";"07299p";"07299";"Mining of other non-ferrous metal ores n.e.c. "
"";""200-Perlombongan Mineral dan Pengkuarian";"196";"B";"B";"08101";"Quarrying of stone for dimension stone industry";"08101";"08101";"Quarrying, rough trimming and sawing of monumental and building stone such as marble, granite (dimension stone), sandstone"
"";""200-Perlombongan Mineral dan Pengkuarian";"197";"B";"B";"08102";"Activities of extracting and processing non-metallic minerals";"08102, 08103";"08102";"Quarrying, crushing and breaking of limestone"
"";""200-Perlombongan Mineral dan Pengkuarian";"198";"B";"B";"08102";"Activities of extracting and processing non-metallic minerals";"08102, 08103";"08103";"Mining of gypsum and anhydrite"
